"seats","B","C","D","F","J","M","P","S","W","O"
1,76.062,99.864,100,54.592,38.16,99.411,75.94,100,99.339,6.067
2,16.375,96.354,99.999,2.12,0.666,90.799,16.515,100,90.24,0
3,0.449,71.744,99.969,0.001,0.001,53.536,0.427,99.985,52.267,0
4,0.002,25.236,99.372,0,0,12.357,0.003,99.556,11.655,0
5,0,2.918,93.054,0,0,0.881,0,94.821,0.754,0
6,0,0.126,67.689,0,0,0.025,0,72.33,0.017,0
7,0,0.003,28.882,0,0,0,0,33.576,0,0
8,0,0,6.101,0,0,0,0,8.01,0,0
9,0,0,0.651,0,0,0,0,0.987,0,0
10,0,0,0.044,0,0,0,0,0.064,0,0
11,0,0,0.001,0,0,0,0,0.003,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
