party,party_color,party_icon,candidate,percentage,image_url
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Stefán Einar,100,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Elliði Vignis,100,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Sjálfstæðisfl.,#2F5DA9,https://visir.is/static/files/uploads/falkinn45.png,Guðlaugur Þ.,18,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,100,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,55,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,77,https://visir.is/static/files/uploads/sanna100.png
Samfylking,#E53935,https://visir.is/static/files/uploads/samfylkingin3.svg,Steinunn G.,0,https://visir.is/static/files/uploads/sanna100.png
Framsókn,#2E7D32,https://visir.is/static/files/uploads/framsokn45.svg,Einar Þorst.,14,https://visir.is/static/files/uploads/sanna100.png
Framsókn,#2E7D32,https://visir.is/static/files/uploads/framsokn45.svg,Einar Þorst.,24,https://visir.is/static/files/uploads/sanna100.png
Framsókn,#2E7D32,https://visir.is/static/files/uploads/framsokn45.svg,Einar Þorst.,34,https://visir.is/static/files/uploads/sanna100.png
Framsókn,#2E7D32,https://visir.is/static/files/uploads/framsokn45.svg,Einar Þorst.,44,https://visir.is/static/files/uploads/sanna100.png
Viðreisn,#FB9B40,https://visir.is/static/files/uploads/vidreisn45.svg,Björg Magn.,100,https://visir.is/static/files/uploads/sanna100.png
Viðreisn,#FB9B40,https://visir.is/static/files/uploads/vidreisn45.svg,Björg Magn.,12,https://visir.is/static/files/uploads/sanna100.png
Flokkur fólksins,#F3BE35,https://visir.is/static/files/uploads/flokkurfolksins45.svg,Einhver,100,https://visir.is/static/files/uploads/sanna100.png
Flokkur fólksins,#F3BE35,https://visir.is/static/files/uploads/flokkurfolksins45.svg,100,Annar,https://visir.is/static/files/uploads/sanna100.png
Sósíalistar,#F95C46,https://visir.is/static/files/uploads/sosialistar45.svg,Silja Sóley,77,https://visir.is/static/files/uploads/sanna100.png
Miðflokkurinn,#15296F,https://visir.is/static/files/uploads/midflokkurinn45.svg,Ari Edwald,100,https://visir.is/static/files/uploads/sanna100.png
Miðflokkurinn,#15296F,https://visir.is/static/files/uploads/midflokkurinn45.svg,Hlédís Maren,66,https://visir.is/static/files/uploads/sanna100.png
Píratar,#9d93ad,https://visir.is/static/files/uploads/piratar45.png,hver,44,https://visir.is/static/files/uploads/sanna100.png
Vinstri græn,#9dc09b,https://visir.is/static/files/uploads/vg45.svg,Sanna M.,100,https://visir.is/static/files/uploads/sanna100.png
