"party","party_color","party_icon","candidate","percentage","image_url"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Einar Þorst.","76","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/framsokn_1.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Magnea Gná J","16","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/framsokn_2.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Þorvaldur D.","0.5","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/framsokn_3.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Halldór Bach.","0","https://visir.is/static/files/uploads/framsokn_4.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Andrea Edda G","0","https://visir.is/static/files/uploads/framsokn_5.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Þórdís Jóna J.","0","https://visir.is/static/files/uploads/framsokn_6.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Ína Holoyad","0","https://visir.is/static/files/uploads/framsokn_7.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Guðmundur Ingi","0","https://visir.is/static/files/uploads/framsokn_8.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Ásrún Kristj.","0","https://visir.is/static/files/uploads/framsokn_9.png"
"Framsókn","#2E7D32","https://visir.is/static/files/uploads/framsokn45.svg","Skúli Bragi G.","0","https://visir.is/static/files/uploads/framsokn_10.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Björg Magn.","100","https://visir.is/static/files/uploads/vidreisn_1.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Róbert Ragn.","96","https://visir.is/static/files/uploads/vidreisn_2.png"
